id,startCol,startRow,endCol,endRow
1,16485,5549,937,3489
2,11038,11759,10802,11819
3,10794,11800,10585,12050
4,10095,12436,9739,12196
5,9784,12555,9771,12371
6,9739,12359,9425,12199
7,9738,12195,9683,12120
8,9915,12049,9689,12102
9,9161,12217,9610,12111
10,10419,12142,10226,12078
11,10497,11810,9898,11556
12,9965,11901,9768,11658
13,9848,11211,9628,11458
14,9522,12036,8980,10657
15,9473,11051,9330,11254
16,10278,11259,9682,11505
17,11024,11219,10793,11376
18,10799,11330,10340,11338
19,11062,11439,10795,11799
20,11307,10872,11085,10790
21,11169,10584,10942,10661
22,11080,10741,10686,10349
23,10979,10312,10725,10318
24,10884,11136,10344,10638
25,10502,11090,10278,10939
26,10253,11066,9926,10343
27,10075,11092,9293,10574
28,9789,10650,9461,10377
29,10572,10636,10052,10399
30,10256,10217,9898,10200
31,9647,9635,8979,10657
32,11119,10062,10215,9853
33,11502,10009,11127,10045
34,11774,9876,11676,9665
35,11604,9967,11317,10049
36,12647,9792,12522,9758
37,12496,9404,12523,9743
38,12765,9783,13024,9191
39,13362,8754,13565,9053
40,14162,7591,11070,8167
41,12443,9725,11070,8182
42,12288,9084,11920,9394
43,11852,9541,11843,9398
44,9758,9112,9926,9357
45,9925,9431,9768,9539
46,10122,8689,10104,8201
47,9679,9012,9407,8162
48,9796,8337,9544,7861
49,10598,8809,10052,8184
50,10925,9391,10063,7899
51,9581,7971,9215,8020
52,9262,7625,9163,7347
53,11930,7486,7764,6395
54,9892,7179,9349,7272
55,10978,6972,10793,7159
56,11171,7109,11066,6950
57,12660,7639,11931,7487
58,12606,7733,12368,7542
59,13412,7670,13022,7695
60,13950,7381,13289,7161
61,14533,7212,13687,6142
62,14551,7893,14237,7932
63,14250,8122,14066,8276
64,14381,8604,13879,8631
65,14235,8751,13931,8719
66,13910,8159,13829,8555
67,13735,8360,13811,8510
68,13498,8297,13775,8562
69,13932,9190,13752,9037
70,17813,5256,17361,5216
71,17541,5090,17228,5088
72,17501,5131,17360,5215
73,17359,5216,16204,5082
74,14641,6957,14125,5718
75,14061,5410,13031,5238
76,15538,5769,14779,5228
77,15702,5127,14881,3893
78,15194,4859,14618,3703
79,15037,4670,14392,4653
80,14406,4983,14186,4594
81,14981,5741,13192,4135
82,14072,4655,13061,5035
83,14419,4365,13192,4133
84,14170,3502,13322,3617
85,13981,3483,13406,3620
86,14364,2922,14306,3087
87,14385,2653,13912,2826
88,14395,2756,14005,3144
89,13717,3075,13365,2815
90,12969,3191,12149,2887
91,13323,2736,10011,4585
92,11514,3413,11212,3515
93,11617,3384,11204,3388
94,11690,3177,11686,3044
95,11936,2427,11051,3587
96,12016,2890,11685,3035
97,12595,2263,12279,2354
98,10483,2123,9399,2856
99,10743,2386,10502,2555
100,10472,3014,10410,3086
101,10774,2405,10212,4335
102,10072,3079,9334,3873
103,10760,2068,9499,4588
104,9971,2876,9389,3055
105,9948,2962,9372,3226
106,9228,3043,9235,3257
107,10270,1805,8053,5304
108,9660,3669,9131,4052
109,9508,4138,9058,4136
110,10786,3592,10925,3644
111,11855,3486,11596,3473
112,11723,3614,11451,3926
113,11969,3615,11260,4373
114,12926,3596,12222,3770
115,13191,4134,12736,4428
116,12012,4668,11540,4178
117,13423,6382,12178,3859
118,10218,6644,10337,6104
119,13196,6735,7995,5654
120,11448,5465,10524,5405
121,12321,5354,10640,4975
122,10453,5342,10092,5163
123,10091,5163,8971,5418
124,9831,4914,9493,5253
125,8818,6334,8623,6500
126,8771,6057,8465,6497
128,7633,5319,7916,5167
129,7231,5683,7044,6149
130,7521,6188,7325,6768
131,7093,6310,7337,6407
132,7505,5888,7189,6809
133,5968,5048,5297,8129
134,5748,3595,4692,3913
135,6538,3606,6822,4524
136,8118,3717,7873,4336
137,6858,3805,7831,4520
138,6866,3845,7362,4439
139,6227,4752,8039,5332
140,7517,5023,7896,5108
141,8350,4096,8260,4951
142,9452,4439,8626,4587
143,8809,3318,9036,3987
144,8125,2944,8820,3190
145,7288,1135,6664,1334
146,6858,1901,5987,1704
147,6366,1724,6233,1510
148,6705,1351,5564,1774
149,6718,899,6549,1200
150,6155,799,5779,1736
151,5673,632,5621,1343
152,5015,1568,5107,1801
153,5321,1423,5337,1678
154,5421,1502,5395,1738
155,5552,2013,5396,1962
156,5457,2116,5298,1832
157,5431,2494,5746,2585
158,5641,3309,5564,1776
159,6922,2430,6614,2311
160,6922,2913,5822,2294
161,6376,2778,5741,2887
162,6093,3084,5742,3024
163,5865,3215,5763,3169
164,4889,2942,5718,2805
165,3913,3231,4452,3047
166,3993,3018,4503,2843
167,3541,3308,2849,2610
168,5563,1775,1064,3500
169,3638,3157,3299,2345
170,3917,2841,3784,2377
171,4265,3290,4557,2239
172,3732,1733,3425,2235
173,2546,2790,2460,2629
174,1600,2722,1823,2943
175,2147,3080,1907,3343
176,2605,3583,1594,3098
177,1872,3605,1112,3426
178,1773,3514,1383,3248
179,1080,3658,1032,3512
180,545,5370,689,4757
181,1405,5723,1033,3809
182,1411,5078,912,5129
183,1640,5201,1360,4108
184,2160,4439,2021,4997
185,2448,4639,2197,5011
186,2912,4102,1644,4077
187,3883,3827,4458,4141
188,4982,3527,4690,3913
189,3737,3940,3959,4528
190,5712,4261,3581,4930
191,4017,5093,3416,5306
192,4691,3914,2802,6455
193,4601,5614,3256,5644
194,3776,6601,3655,6218
195,3607,6198,3136,6018
196,2454,5901,2621,6235
197,2453,5126,2321,5208
198,1506,5341,2011,5089
199,1685,5581,1912,5648
200,1716,5838,1940,5739
201,1585,5633,1091,5525
202,701,5329,915,5147
203,1802,6818,2141,6568
204,1651,7368,1802,6819
205,2535,9308,2687,9001
206,3015,8596,3071,8457
207,2733,9448,2906,8664
208,3745,9550,3814,9389
209,3613,9463,3702,9346
210,3592,9039,4828,8947
211,3776,9203,3893,9410
212,3327,9169,4664,9395
213,4125,9344,4644,9394
214,5385,10506,4392,8381
215,4187,9051,3897,8463
216,4765,8430,4743,8293
217,4867,7696,4780,8197
218,4392,7104,4582,8102
219,4583,7226,4662,8228
220,4309,7788,3755,8392
221,4137,7474,2798,7771
222,3694,6657,2817,6846
223,5431,7511,5398,8101
224,5730,7644,5484,8059
225,5704,7512,5646,7681
226,6081,7176,6193,7888
227,6431,7933,6109,8047
228,6628,6583,6642,7486
229,6130,6552,6549,7348
230,9183,6615,8535,6722
231,11070,8181,6804,7332
232,8834,7936,9030,7711
233,8371,8191,8568,7476
234,8197,8014,8497,7620
235,7859,7838,7810,8212
236,8188,7767,8020,7347
237,7646,7495,7459,7271
238,7637,7700,6776,7429
239,7612,8571,7645,8458
240,8684,9587,6564,7756
241,8294,8363,7445,8166
242,7794,7997,7667,8223
243,9375,8610,9328,7882
244,9335,8804,8641,8887
245,8814,8558,8621,8884
246,8581,8577,8419,8405
247,8246,8529,8121,8749
248,9596,9247,8299,8914
249,8372,9836,7669,8471
250,7498,8946,6882,9267
251,7398,9455,7832,9681
252,8980,10658,5248,8141
253,7817,9122,6256,9174
254,6839,8892,6867,9325
255,7258,8817,6815,8761
256,7276,8594,6815,8760
257,6745,8322,6797,8193
258,6707,8231,6249,8600
259,6814,8760,5887,8053
260,6062,8273,6076,7977
261,5038,9138,5483,9087
262,5223,8983,5482,9087
263,5894,9005,5704,8873
264,5688,9219,5754,8934
265,5532,9970,5579,8473
266,5356,9222,5572,9235
267,5858,9585,5997,8977
268,5836,9741,5625,9285
269,5426,9499,5446,9277
270,5054,9778,4780,9256
271,5119,9638,4860,9291
272,5230,9787,5055,9779
273,5395,9982,5527,9961
274,5641,10087,5543,10002
275,5670,10102,5861,10353
276,5296,10116,5062,10196
277,5196,10043,4851,10184
278,5061,10196,4904,10152
279,4724,10698,6003,10975
280,5111,10597,5501,10920
281,5605,10574,5793,10916
282,5517,10296,6347,10389
283,6316,11140,6323,10708
284,6887,10774,6356,10660
285,8097,11740,6405,9867
286,7088,10675,6953,10391
287,6952,10390,6796,10260
288,7268,9848,6617,9378
289,7491,10288,7449,10207
290,7674,10245,7445,10171
291,7936,10269,7770,10194
292,8149,9907,7829,9910
293,7964,9567,7710,9974
294,8526,10291,8212,10357
295,8980,10329,9205,10422
296,9326,10249,9206,10422
297,9205,10423,9171,10532
298,7758,11033,7555,10941
299,8799,11605,6986,10262
300,7870,10693,7258,10490
301,8071,10580,7040,10255
302,7267,10851,7238,10476
303,7814,10808,7435,10723
304,7459,11411,7135,11084
305,7448,11819,7090,11771
306,8277,11424,7864,11363
307,8357,11349,7759,11034
308,8718,11349,8602,10974
309,8704,11787,8767,11624
310,8684,11984,8442,12012
311,9136,12506,9036,12296
312,6568,12161,6212,11943
313,6858,11637,6550,11510
314,6983,11374,6453,11262
315,5955,11871,6067,11174
316,6212,11942,6104,11182
317,5722,11393,5977,11098
318,5667,11202,5721,11393
319,5293,11243,5247,11244
320,4918,10052,4817,10064
321,5023,9912,4713,9798
322,4388,9855,4687,9822
323,4390,10068,4509,9857
